Name,Category,Film,Win_Oscar?,Year_Ceremony,Birth_Date,Birth_Place,Gender,Race or Ethnicity,Sexual orientation,Religion,Link
Ellen Burstyn,ACTRESS IN A SUPPORTING ROLE,The Last Picture Show,FALSO,1972,07-12-1932,"Detroit, MI",Female,White,Straight,Na,/people/650/000023581/
Barbara Harris,ACTRESS IN A SUPPORTING ROLE,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?,FALSO,1972,25-07-1935,"Evanston, IL",Female,White,Straight,Na,http://www.nndb.com/people/249/000033150/
Cloris Leachman,ACTRESS IN A SUPPORTING ROLE,The Last Picture Show,VERDADERO,1972,30-04-1926,"Des Moines, IA",Female,White,Straight,Na,/people/177/000023108/
Margaret Leighton,ACTRESS IN A SUPPORTING ROLE,The Go-Between,FALSO,1972,26-02-1922,"Barnt Green, Worcestershire, England",Female,White,Straight,Na,http://www.nndb.com/people/574/000092298/
Stanley Kubrick,DIRECTING,A Clockwork Orange,FALSO,1972,26-07-1928,"Bronx, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/475/000022409/
Norman Jewison,DIRECTING,Fiddler on the Roof,FALSO,1972,21-07-1926,"Toronto, Ontario, Canada",Male,White,Straight,Na,http://www.nndb.com/people/186/000023117/
William Friedkin,DIRECTING,The French Connection,VERDADERO,1972,29-08-1935,"Chicago, IL",Male,White,Straight,Jewish,/people/112/000024040/
Peter Bogdanovich,DIRECTING,The Last Picture Show,FALSO,1972,30-07-1939,"Kingston, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/100/000024028/
John Schlesinger,DIRECTING,Sunday Bloody Sunday,FALSO,1972,16-02-1926,"London, England",Male,White,Gay,Na,/people/771/000032675/
Marlon Brando,ACTOR,The Godfather,VERDADERO,1973,03-04-1924,"Omaha, NE",Male,White,Bisexual,Deist,/people/721/000022655/
Michael Caine,ACTOR,Sleuth,FALSO,1973,14-03-1933,"Bermondsey, England",Male,White,Straight,Na,/people/754/000022688/
Laurence Olivier,ACTOR,Sleuth,FALSO,1973,22-05-1907,"Dorking, Surrey, England",Male,White,Bisexual,Na,/people/607/000022541/
Peter O'Toole,ACTOR,The Ruling Class,FALSO,1973,02-08-1932,"Connemara, Ireland",Male,White,Straight,Roman Catholic,http://www.nndb.com/people/480/000026402/
Paul Winfield,ACTOR,Sounder,FALSO,1973,22-05-1941,"Los Angeles, CA",Male,Black,Gay,Na,http://www.nndb.com/people/272/000024200/
Eddie Albert,ACTOR IN A SUPPORTING ROLE,The Heartbreak Kid,FALSO,1973,22-04-1906,"Rock Island, IL",Male,White,Straight,Na,http://www.nndb.com/people/624/000022558/
James Caan,ACTOR IN A SUPPORTING ROLE,The Godfather,FALSO,1973,26-03-1940,"Bronx, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/738/000022672/
Robert Duvall,ACTOR IN A SUPPORTING ROLE,The Godfather,FALSO,1973,05-01-1931,"San Diego, CA",Male,White,Straight,Na,/people/008/000022939/
Joel Grey,ACTOR IN A SUPPORTING ROLE,Cabaret,VERDADERO,1973,11-04-1932,"Cleveland, OH",Male,White,Gay,Jewish,/people/853/000048709/
Al Pacino,ACTOR IN A SUPPORTING ROLE,The Godfather,FALSO,1973,25-04-1940,"East Harlem, New York City",Male,White,Straight,Roman Catholic,/people/880/000022814/
Liza Minnelli,ACTRESS,Cabaret,VERDADERO,1973,12-03-1946,"Los Angeles, CA",Female,White,Na,Na,/people/724/000024652/
Diana Ross,ACTRESS,Lady Sings the Blues,FALSO,1973,26-03-1944,"Detroit, MI",Female,Black,Straight,Na,https://www.nndb.com/people/805/000022739/
Maggie Smith,ACTRESS,Travels with My Aunt,FALSO,1973,28-12-1934,"Ilford, Essex, England",Female,White,Straight,Na,/people/260/000030170/
Cicely Tyson,ACTRESS,Sounder,FALSO,1973,18-12-1924,"Harlem, NY",Female,Black,Straight,Na,http://www.nndb.com/people/709/000023640/
Liv Ullmann,ACTRESS,The Emigrants,FALSO,1973,16-12-1938,"Tokyo, Japan",Female,White,Straight,Na,http://www.nndb.com/people/240/000085982/
Jeannie Berlin,ACTRESS IN A SUPPORTING ROLE,The Heartbreak Kid,FALSO,1973,01-11-1949,"Los Angeles, CA",Female,White,Na,Na,http://www.nndb.com/people/444/000352385/
Eileen Heckart,ACTRESS IN A SUPPORTING ROLE,Butterflies Are Free,VERDADERO,1973,29-03-1919,"Columbus, OH",Female,White,Straight,Na,/people/828/000063639/
Geraldine Page,ACTRESS IN A SUPPORTING ROLE,Pete 'n' Tillie,FALSO,1973,22-11-1924,"Kirksville, MO",Female,White,Straight,Na,/people/780/000043651/
Susan Tyrrell,ACTRESS IN A SUPPORTING ROLE,Fat City,FALSO,1973,18-03-1945,"San Francisco, CA",Female,White,Straight,Na,http://www.nndb.com/people/223/000030133/
Shelley Winters,ACTRESS IN A SUPPORTING ROLE,The Poseidon Adventure,FALSO,1973,18-08-1920,"St. Louis, MO",Female,White,Straight,Jewish,/people/859/000022793/
Bob Fosse,DIRECTING,Cabaret,VERDADERO,1973,23-06-1927,"Chicago, IL",Male,White,Straight,Na,/people/159/000032063/
John Boorman,DIRECTING,Deliverance,FALSO,1973,18-01-1933,"Shepperton, Middlesex, England",Male,White,Straight,Na,http://www.nndb.com/people/652/000023583/
Jan Troell,DIRECTING,The Emigrants,FALSO,1973,23-07-1931,"Malm�, Sk�ne l�n, Sweden",Male,White,Straight,Na,http://www.nndb.com/people/638/000365540/
Francis Ford Coppola,DIRECTING,The Godfather,FALSO,1973,07-04-1939,"Detroit, MI",Male,White,Straight,Na,/people/866/000022800/
Joseph L. Mankiewicz,DIRECTING,Sleuth,FALSO,1973,11-02-1909,"Wilkes-Barre, PA",Male,White,Straight,Jewish,/people/723/000032627/
Marlon Brando,ACTOR,Last Tango in Paris,FALSO,1974,03-04-1924,"Omaha, NE",Male,White,Bisexual,Deist,/people/721/000022655/
Jack Lemmon,ACTOR,Save the Tiger,VERDADERO,1974,08-02-1925,"Newton, MA",Male,White,Straight,Roman Catholic,/people/714/000026636/
Jack Nicholson,ACTOR,The Last Detail,FALSO,1974,22-04-1937,New York City,Male,White,Straight,Atheist,/people/722/000022656/
Al Pacino,ACTOR,Serpico,FALSO,1974,25-04-1940,"East Harlem, New York City",Male,White,Straight,Roman Catholic,/people/880/000022814/
Robert Redford,ACTOR,The Sting,FALSO,1974,18-08-1936,"Santa Monica, CA",Male,White,Straight,Na,/people/795/000022729/
Vincent Gardenia,ACTOR IN A SUPPORTING ROLE,Bang the Drum Slowly,FALSO,1974,07-01-1922,"Naples, Italy",Male,White,Straight,Na,http://www.nndb.com/people/980/000032884/
Jack Gilford,ACTOR IN A SUPPORTING ROLE,Save the Tiger,FALSO,1974,25-07-1908,New York City,Male,White,Straight,Jewish,http://www.nndb.com/people/985/000132589/
John Houseman,ACTOR IN A SUPPORTING ROLE,The Paper Chase,VERDADERO,1974,22-09-1902,"Bucharest, Romania",Male,White,Straight,Na,/people/686/000042560/
Jason Miller,ACTOR IN A SUPPORTING ROLE,The Exorcist,FALSO,1974,22-04-1939,"Long Island City, NY",Male,White,Straight,Na,http://www.nndb.com/people/138/000111802/
Randy Quaid,ACTOR IN A SUPPORTING ROLE,The Last Detail,FALSO,1974,01-10-1950,"Houston, TX",Male,White,Straight,Na,http://www.nndb.com/people/623/000022557/
Ellen Burstyn,ACTRESS,The Exorcist,FALSO,1974,07-12-1932,"Detroit, MI",Female,White,Straight,Na,/people/650/000023581/
Glenda Jackson,ACTRESS,A Touch of Class,VERDADERO,1974,09-05-1936,"Birkenhead, Cheshire, England",Female,White,Straight,Na,/people/799/000063610/
Marsha Mason,ACTRESS,Cinderella Liberty,FALSO,1974,03-04-1942,"St. Louis, MO",Female,White,Straight,Na,http://www.nndb.com/people/232/000100929/
Barbra Streisand,ACTRESS,The Way We Were,FALSO,1974,24-04-1942,"Brooklyn, NY",Female,White,Straight,Jewish,/people/526/000022460/
Joanne Woodward,ACTRESS,"Summer Wishes, Winter Dreams",FALSO,1974,27-02-1930,"Thomasville, GA",Female,White,Straight,Na,/people/747/000043618/
Linda Blair,ACTRESS IN A SUPPORTING ROLE,The Exorcist,FALSO,1974,22-01-1959,"St. Louis, MO",Female,White,Straight,Na,http://www.nndb.com/people/796/000022730/
Candy Clark,ACTRESS IN A SUPPORTING ROLE,American Graffiti,FALSO,1974,20-06-1947,"Norman, OK",Female,White,Straight,Na,http://www.nndb.com/people/798/000131405/
Madeline Kahn,ACTRESS IN A SUPPORTING ROLE,Paper Moon,FALSO,1974,29-09-1942,"Boston, MA",Female,White,Straight,Na,http://www.nndb.com/people/620/000043491/
Tatum O'Neal,ACTRESS IN A SUPPORTING ROLE,Paper Moon,VERDADERO,1974,05-11-1963,"Los Angeles, CA",Female,White,Straight,Na,/people/104/000024032/
Sylvia Sidney,ACTRESS IN A SUPPORTING ROLE,"Summer Wishes, Winter Dreams",FALSO,1974,08-08-1910,"Bronx, NY",Female,White,Straight,Na,http://www.nndb.com/people/654/000050504/
George Lucas,DIRECTING,American Graffiti,FALSO,1974,14-05-1944,"Modesto, CA",Male,White,Straight,Methodist,http://www.nndb.com/people/539/000022473/
Ingmar Bergman,DIRECTING,Cries and Whispers,FALSO,1974,14-07-1918,"Uppsala, Sweden",Male,White,Straight,Atheist,http://www.nndb.com/people/009/000025931/
William Friedkin,DIRECTING,The Exorcist,FALSO,1974,29-08-1935,"Chicago, IL",Male,White,Straight,Jewish,/people/112/000024040/
Bernardo Bertolucci,DIRECTING,Last Tango in Paris,FALSO,1974,16-03-1941,"Parma, Emilia-Romagna, Italy",Male,White,Straight,Na,/people/268/000024196/
George Roy Hill,DIRECTING,The Sting,VERDADERO,1974,20-12-1921,"Minneapolis, MN",Male,White,Straight,Na,/people/783/000032687/
Art Carney,ACTOR,Harry and Tonto,VERDADERO,1975,04-11-1918,"Mount Vernon, NY",Male,White,Straight,Na,/people/182/000025107/
Albert Finney,ACTOR,Murder on the Orient Express,FALSO,1975,09-05-1936,"Salford, Lancashire, England",Male,White,Straight,Na,http://www.nndb.com/people/903/000023834/
Dustin Hoffman,ACTOR,Lenny,FALSO,1975,08-08-1937,"Los Angeles, CA",Male,White,Straight,Jewish,/people/882/000022816/
Jack Nicholson,ACTOR,Chinatown,FALSO,1975,22-04-1937,New York City,Male,White,Straight,Atheist,/people/722/000022656/
Al Pacino,ACTOR,The Godfather Part II,FALSO,1975,25-04-1940,"East Harlem, New York City",Male,White,Straight,Roman Catholic,/people/880/000022814/
Fred Astaire,ACTOR IN A SUPPORTING ROLE,The Towering Inferno,FALSO,1975,1899-05-10,"Omaha, NE",Male,White,Straight,Anglican/Episcopalian,https://www.nndb.com/people/372/000026294/
Jeff Bridges,ACTOR IN A SUPPORTING ROLE,Thunderbolt and Lightfoot,FALSO,1975,04-12-1949,"Los Angeles, CA",Male,White,Straight,Lutheran,/people/779/000022713/
Robert De Niro,ACTOR IN A SUPPORTING ROLE,The Godfather Part II,VERDADERO,1975,17-08-1943,New York City,Male,White,Straight,Roman Catholic,/people/765/000023696/
Michael V. Gazzo,ACTOR IN A SUPPORTING ROLE,The Godfather Part II,FALSO,1975,05-04-1924,"New Jersay, USA",Male,White,Na,Na,https://www.imdb.com/fr/name/nm0311155/?ref_=nv_sr_srsg_0_tt_0_nm_5_in_0_q_Michael%2520V.%2520Gazzo
Lee Strasberg,ACTOR IN A SUPPORTING ROLE,The Godfather Part II,FALSO,1975,17-11-1901,"Budanov, Ukraine",Male,White,Straight,Jewish,http://www.nndb.com/people/304/000057133/
Ellen Burstyn,ACTRESS,Alice Doesn't Live Here Anymore,VERDADERO,1975,07-12-1932,"Detroit, MI",Female,White,Straight,Na,/people/650/000023581/
Diahann Carroll,ACTRESS,Claudine,FALSO,1975,17-07-1935,"Bronx, NY",Female,Black,Straight,Na,http://www.nndb.com/people/857/000023788/
Faye Dunaway,ACTRESS,Chinatown,FALSO,1975,14-01-1941,"Bascom, FL",Female,White,Straight,Roman Catholic,/people/884/000022818/
Valerie Perrine,ACTRESS,Lenny,FALSO,1975,03-09-1943,"Galveston, TX",Female,White,Straight,Na,http://www.nndb.com/people/496/000024424/
Gena Rowlands,ACTRESS,A Woman under the Influence,FALSO,1975,19-06-1930,"Cambria, WI",Female,White,Straight,Anglican/Episcopalian,http://www.nndb.com/people/907/000023838/
Ingrid Bergman,ACTRESS IN A SUPPORTING ROLE,Murder on the Orient Express,VERDADERO,1975,29-08-1915,"Stockholm, Sweden",Female,White,Straight,Na,/people/836/000024764/
Valentina Cortese,ACTRESS IN A SUPPORTING ROLE,Day for Night,FALSO,1975,01-01-1925,"Milan, Italy",Female,White,Straight,Na,http://www.nndb.com/people/341/000091068/
Madeline Kahn,ACTRESS IN A SUPPORTING ROLE,Blazing Saddles,FALSO,1975,29-09-1942,"Boston, MA",Female,White,Straight,Na,http://www.nndb.com/people/620/000043491/
Diane Ladd,ACTRESS IN A SUPPORTING ROLE,Alice Doesn't Live Here Anymore,FALSO,1975,29-11-1942,"Laurel, MS",Female,White,Straight,Roman Catholic,http://www.nndb.com/people/510/000024438/
Talia Shire,ACTRESS IN A SUPPORTING ROLE,The Godfather Part II,FALSO,1975,25-04-1946,"Lake Success, Long Island, NY",Female,White,Straight,Roman Catholic,http://www.nndb.com/people/640/000043511/
Roman Polanski,DIRECTING,Chinatown,FALSO,1975,18-08-1933,"Paris, France",Male,White,Straight,Na,/people/541/000023472/
Francois Truffaut,DIRECTING,Day for Night,FALSO,1975,06-02-1932,"Paris, France",Male,White,Straight,Na,http://www.nndb.com/people/391/000044259/
Francis Ford Coppola,DIRECTING,The Godfather Part II,VERDADERO,1975,07-04-1939,"Detroit, MI",Male,White,Straight,Na,/people/866/000022800/
Bob Fosse,DIRECTING,Lenny,FALSO,1975,23-06-1927,"Chicago, IL",Male,White,Straight,Na,/people/159/000032063/
John Cassavetes,DIRECTING,A Woman under the Influence,FALSO,1975,09-12-1929,New York City,Male,White,Straight,Na,http://www.nndb.com/people/316/000026238/
Walter Matthau,ACTOR,The Sunshine Boys,FALSO,1976,01-10-1920,New York City,Male,White,Straight,Jewish,/people/768/000023699/
Jack Nicholson,ACTOR,One Flew over the Cuckoo's Nest,VERDADERO,1976,22-04-1937,New York City,Male,White,Straight,Atheist,/people/722/000022656/
Al Pacino,ACTOR,Dog Day Afternoon,FALSO,1976,25-04-1940,"East Harlem, New York City",Male,White,Straight,Roman Catholic,/people/880/000022814/
Maximilian Schell,ACTOR,The Man in the Glass Booth,FALSO,1976,08-12-1930,"Vienna, Austria",Male,White,Straight,Na,/people/351/000023282/
James Whitmore,ACTOR,"Give 'em Hell, Harry!",FALSO,1976,01-10-1921,"White Plains, NY",Male,White,Straight,Na,http://www.nndb.com/people/876/000022810/
George Burns,ACTOR IN A SUPPORTING ROLE,The Sunshine Boys,VERDADERO,1976,1896-01-20,New York City,Male,White,Straight,Jewish,/people/895/000022829/
Brad Dourif,ACTOR IN A SUPPORTING ROLE,One Flew over the Cuckoo's Nest,FALSO,1976,18-03-1950,"Huntington, WV",Male,White,Straight,Na,http://www.nndb.com/people/591/000056423/
Burgess Meredith,ACTOR IN A SUPPORTING ROLE,The Day of the Locust,FALSO,1976,16-11-1908,"Cleveland, OH",Male,White,Straight,Na,http://www.nndb.com/people/143/000043014/
Chris Sarandon,ACTOR IN A SUPPORTING ROLE,Dog Day Afternoon,FALSO,1976,24-07-1942,"Beckley, WV",Male,White,Straight,Na,http://www.nndb.com/people/058/000078821/
Jack Warden,ACTOR IN A SUPPORTING ROLE,Shampoo,FALSO,1976,18-09-1920,"Newark, NJ",Male,White,Straight,Na,http://www.nndb.com/people/860/000022794/
Isabelle Adjani,ACTRESS,The Story of Adele H.,FALSO,1976,27-06-1955,"Paris, France",Female,Multiracial,Straight,Na,http://www.nndb.com/people/431/000108107/
Ann-Margret,ACTRESS,Tommy,FALSO,1976,28-04-1941,"Valsjobyn, Sweden",Female,White,Straight,Lutheran,http://www.nndb.com/people/777/000043648/
Louise Fletcher,ACTRESS,One Flew over the Cuckoo's Nest,VERDADERO,1976,22-07-1934,"Birmingham, AL",Female,White,Straight,Na,/people/798/000063609/
Glenda Jackson,ACTRESS,Hedda,FALSO,1976,09-05-1936,"Birkenhead, Cheshire, England",Female,White,Straight,Na,/people/799/000063610/
Carol Kane,ACTRESS,Hester Street,FALSO,1976,18-06-1952,"Cleveland, OH",Female,White,Na,Jewish,http://www.nndb.com/people/241/000025166/
Ronee Blakley,ACTRESS IN A SUPPORTING ROLE,Nashville,FALSO,1976,24-08-1945,"Caldwell, ID",Female,White,Straight,Na,http://www.nndb.com/people/380/000173858/
Lee Grant,ACTRESS IN A SUPPORTING ROLE,Shampoo,VERDADERO,1976,31-10-1927,New York City,Female,White,Straight,Jewish,/people/409/000032313/
Sylvia Miles,ACTRESS IN A SUPPORTING ROLE,"Farewell, My Lovely",FALSO,1976,09-09-1924,New York City,Female,White,Straight,Jewish,http://www.nndb.com/people/294/000130901/
Lily Tomlin,ACTRESS IN A SUPPORTING ROLE,Nashville,FALSO,1976,01-09-1939,"Detroit, MI",Female,White,Lesbian,Baptist,http://www.nndb.com/people/661/000022595/
Brenda Vaccaro,ACTRESS IN A SUPPORTING ROLE,Jacqueline Susann's Once Is Not Enough,FALSO,1976,18-11-1939,"Brooklyn, NY",Female,White,Straight,Na,http://www.nndb.com/people/126/000024054/
Federico Fellini,DIRECTING,Amarcord,FALSO,1976,20-01-1920,"Rimini, Italy",Male,White,Straight,Na,http://www.nndb.com/people/911/000043782/
Stanley Kubrick,DIRECTING,Barry Lyndon,FALSO,1976,26-07-1928,"Bronx, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/475/000022409/
Sidney Lumet,DIRECTING,Dog Day Afternoon,FALSO,1976,25-06-1924,"Philadelphia, PA",Male,White,Straight,Jewish,http://www.nndb.com/people/978/000022912/
Robert Altman,DIRECTING,Nashville,FALSO,1976,20-02-1925,"Kansas City, MO",Male,White,Straight,Atheist,http://www.nndb.com/people/002/000022933/
Milos Forman,DIRECTING,One Flew over the Cuckoo's Nest,VERDADERO,1976,18-02-1932,"C�slav, Czechoslovakia",Male,White,Straight,Na,/people/622/000023553/
Robert De Niro,ACTOR,Taxi Driver,FALSO,1977,17-08-1943,New York City,Male,White,Straight,Roman Catholic,/people/765/000023696/
Peter Finch,ACTOR,Network,VERDADERO,1977,28-09-1916,"South Kensington, London, England",Male,White,Straight,Na,/people/745/000063556/
Giancarlo Giannini,ACTOR,Seven Beauties,FALSO,1977,01-08-1942,"La Spezia, Italy",Male,White,Straight,Na,http://www.nndb.com/people/421/000131028/
William Holden,ACTOR,Network,FALSO,1977,17-04-1918,"O'Fallon, IL",Male,White,Straight,Na,/people/210/000022144/
Sylvester Stallone,ACTOR,Rocky,FALSO,1977,06-07-1946,New York City,Male,White,Straight,Roman Catholic,http://www.nndb.com/people/761/000023692/
Ned Beatty,ACTOR IN A SUPPORTING ROLE,Network,FALSO,1977,06-07-1937,"Louisville, KY",Male,White,Straight,Na,http://www.nndb.com/people/760/000023691/
Burgess Meredith,ACTOR IN A SUPPORTING ROLE,Rocky,FALSO,1977,16-11-1908,"Cleveland, OH",Male,White,Straight,Na,http://www.nndb.com/people/143/000043014/
Laurence Olivier,ACTOR IN A SUPPORTING ROLE,Marathon Man,FALSO,1977,22-05-1907,"Dorking, Surrey, England",Male,White,Bisexual,Na,/people/607/000022541/
Jason Robards,ACTOR IN A SUPPORTING ROLE,All the President's Men,VERDADERO,1977,26-07-1922,"Chicago, IL",Male,White,Straight,Na,/people/224/000032128/
Burt Young,ACTOR IN A SUPPORTING ROLE,Rocky,FALSO,1977,30-04-1940,"Queens, NY",Male,White,Straight,Na,http://www.nndb.com/people/768/000050618/
Marie-Christine Barrault,ACTRESS,"Cousin, Cousine",FALSO,1977,21-03-1944,"Paris, France",Female,White,Straight,Na,http://www.nndb.com/people/017/000134612/
Faye Dunaway,ACTRESS,Network,VERDADERO,1977,14-01-1941,"Bascom, FL",Female,White,Straight,Roman Catholic,/people/884/000022818/
Talia Shire,ACTRESS,Rocky,FALSO,1977,25-04-1946,"Lake Success, Long Island, NY",Female,White,Straight,Roman Catholic,http://www.nndb.com/people/640/000043511/
Sissy Spacek,ACTRESS,Carrie,FALSO,1977,25-12-1949,"Quitman, TX",Female,White,Straight,Na,/people/758/000023689/
Liv Ullmann,ACTRESS,Face to Face,FALSO,1977,16-12-1938,"Tokyo, Japan",Female,White,Straight,Na,http://www.nndb.com/people/240/000085982/
Jane Alexander,ACTRESS IN A SUPPORTING ROLE,All the President's Men,FALSO,1977,28-10-1939,"Boston, MA",Female,White,Straight,Na,http://www.nndb.com/people/125/000024053/
Jodie Foster,ACTRESS IN A SUPPORTING ROLE,Taxi Driver,FALSO,1977,19-11-1962,"Los Angeles, CA",Female,White,Lesbian,Atheist,/people/756/000023687/
Lee Grant,ACTRESS IN A SUPPORTING ROLE,Voyage of the Damned,FALSO,1977,31-10-1927,New York City,Female,White,Straight,Jewish,/people/409/000032313/
Piper Laurie,ACTRESS IN A SUPPORTING ROLE,Carrie,FALSO,1977,22-01-1932,"Detroit, MI",Female,White,Straight,Jewish,http://www.nndb.com/people/621/000023552/
Beatrice Straight,ACTRESS IN A SUPPORTING ROLE,Network,VERDADERO,1977,02-08-1914,"Old Westbury, NY",Female,White,Straight,Na,/people/817/000063628/
Alan J. Pakula,DIRECTING,All the President's Men,FALSO,1977,07-04-1928,"Bronx, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/540/000032444/
Ingmar Bergman,DIRECTING,Face to Face,FALSO,1977,14-07-1918,"Uppsala, Sweden",Male,White,Straight,Atheist,http://www.nndb.com/people/009/000025931/
Sidney Lumet,DIRECTING,Network,FALSO,1977,25-06-1924,"Philadelphia, PA",Male,White,Straight,Jewish,http://www.nndb.com/people/978/000022912/
John G. Avildsen,DIRECTING,Rocky,VERDADERO,1977,21-12-1935,"Oak Park, IL",Male,White,Straight,Na,/people/679/000032583/
Lina Wertm�ller,DIRECTING,Seven Beauties,FALSO,1977,14-08-1928,"Rome, Italy",Female,White,Straight,Na,http://www.nndb.com/people/714/000116366/
Woody Allen,ACTOR,Annie Hall,FALSO,1978,01-12-1935,"Brooklyn, NY",Male,White,Straight,Agnostic,/people/501/000022435/
Richard Burton,ACTOR,Equus,FALSO,1978,10-11-1925,"Pontrhydyfen, Wales",Male,White,Bisexual,Presbyterian,http://www.nndb.com/people/260/000032164/
Richard Dreyfuss,ACTOR,The Goodbye Girl,VERDADERO,1978,29-10-1947,"Brooklyn, NY",Male,White,Straight,Jewish,/people/814/000022748/
Marcello Mastroianni,ACTOR,A Special Day,FALSO,1978,28-09-1924,"Fontana Liri, Italy",Male,White,Straight,Na,http://www.nndb.com/people/231/000085973/
John Travolta,ACTOR,Saturday Night Fever,FALSO,1978,18-02-1954,"Englewood, NJ",Male,White,Matter of Dispute,Scientology,http://www.nndb.com/people/927/000022861/
Mikhail Baryshnikov,ACTOR IN A SUPPORTING ROLE,The Turning Point,FALSO,1978,27-01-1948,"Riga, Latvia",Male,White,Straight,Na,https://www.nndb.com/people/885/000024813/
Peter Firth,ACTOR IN A SUPPORTING ROLE,Equus,FALSO,1978,27-10-1953,"Bradford, Yorkshire, England",Male,White,Straight,Na,http://www.nndb.com/people/066/000130673/
Alec Guinness,ACTOR IN A SUPPORTING ROLE,Star Wars,FALSO,1978,02-04-1914,"London, England",Male,White,Bisexual,Roman Catholic,/people/751/000023682/
Jason Robards,ACTOR IN A SUPPORTING ROLE,Julia,VERDADERO,1978,26-07-1922,"Chicago, IL",Male,White,Straight,Na,/people/224/000032128/
Maximilian Schell,ACTOR IN A SUPPORTING ROLE,Julia,FALSO,1978,08-12-1930,"Vienna, Austria",Male,White,Straight,Na,/people/351/000023282/
Anne Bancroft,ACTRESS,The Turning Point,FALSO,1978,17-09-1931,"Bronx, NY",Female,White,Straight,Roman Catholic,/people/439/000023370/
Jane Fonda,ACTRESS,Julia,FALSO,1978,21-12-1937,New York City,Female,White,Straight,Born-Again Christian,/people/637/000022571/
Diane Keaton,ACTRESS,Annie Hall,VERDADERO,1978,05-01-1946,"Los Angeles, CA",Female,White,Straight,Atheist,/people/879/000022813/
Shirley MacLaine,ACTRESS,The Turning Point,FALSO,1978,24-04-1934,"Richmond, VA",Female,White,Straight,Baptist,/people/799/000023730/
Marsha Mason,ACTRESS,The Goodbye Girl,FALSO,1978,03-04-1942,"St. Louis, MO",Female,White,Straight,Na,http://www.nndb.com/people/232/000100929/
Leslie Browne,ACTRESS IN A SUPPORTING ROLE,The Turning Point,FALSO,1978,29-06-1957,New York City,Female,White,Na,Na,https://www.imdb.com/fr/name/nm0115038/
Quinn Cummings,ACTRESS IN A SUPPORTING ROLE,The Goodbye Girl,FALSO,1978,13-08-1967,"Los Angeles, CA",Female,White,Na,Na,http://www.nndb.com/people/289/000160806/
Melinda Dillon,ACTRESS IN A SUPPORTING ROLE,Close Encounters of the Third Kind,FALSO,1978,13-10-1939,"Hope, AR",Female,White,Straight,Na,http://www.nndb.com/people/733/000129346/
Vanessa Redgrave,ACTRESS IN A SUPPORTING ROLE,Julia,VERDADERO,1978,30-01-1937,"London, England",Female,White,Straight,Na,/people/590/000023521/
Tuesday Weld,ACTRESS IN A SUPPORTING ROLE,Looking for Mr. Goodbar,FALSO,1978,27-08-1943,New York City,Female,White,Straight,Na,http://www.nndb.com/people/680/000025605/
Woody Allen,DIRECTING,Annie Hall,VERDADERO,1978,01-12-1935,"Brooklyn, NY",Male,White,Straight,Agnostic,/people/501/000022435/
Steven Spielberg,DIRECTING,Close Encounters of the Third Kind,FALSO,1978,18-12-1946,"Cincinnati, OH",Male,White,Straight,Jewish,/people/734/000022668/
Fred Zinnemann,DIRECTING,Julia,FALSO,1978,29-04-1907,"Vienna, Austria",Male,White,Straight,Jewish,/people/538/000032442/
George Lucas,DIRECTING,Star Wars,FALSO,1978,14-05-1944,"Modesto, CA",Male,White,Straight,Methodist,http://www.nndb.com/people/539/000022473/
Herbert Ross,DIRECTING,The Turning Point,FALSO,1978,13-05-1927,"Brooklyn, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/415/000032319/
Warren Beatty,ACTOR,Heaven Can Wait,FALSO,1979,30-03-1937,"Richmond, VA",Male,White,Straight,Baptist,/people/719/000022653/
Gary Busey,ACTOR,The Buddy Holly Story,FALSO,1979,29-06-1944,"Goose Creek, TX",Male,White,Straight,Born-Again Christian,http://www.nndb.com/people/848/000022782/
Robert De Niro,ACTOR,The Deer Hunter,FALSO,1979,17-08-1943,New York City,Male,White,Straight,Roman Catholic,/people/765/000023696/
Laurence Olivier,ACTOR,The Boys from Brazil,FALSO,1979,22-05-1907,"Dorking, Surrey, England",Male,White,Bisexual,Na,/people/607/000022541/
Jon Voight,ACTOR,Coming Home,VERDADERO,1979,29-12-1938,"Yonkers, NY",Male,White,Straight,Roman Catholic,/people/060/000023988/
Bruce Dern,ACTOR IN A SUPPORTING ROLE,Coming Home,FALSO,1979,04-06-1936,"Chicago, IL",Male,White,Straight,Na,http://www.nndb.com/people/658/000023589/
Richard Farnsworth,ACTOR IN A SUPPORTING ROLE,Comes a Horseman,FALSO,1979,01-09-1920,"Los Angeles, CA",Male,White,Straight,Na,http://www.nndb.com/people/865/000072649/
John Hurt,ACTOR IN A SUPPORTING ROLE,Midnight Express,FALSO,1979,22-01-1940,"Chesterfield, Derbyshire, England",Male,White,Straight,Na,http://www.nndb.com/people/007/000023935/
Christopher Walken,ACTOR IN A SUPPORTING ROLE,The Deer Hunter,VERDADERO,1979,31-03-1943,"Astoria, NY",Male,White,Straight,Na,/people/618/000022552/
