Name,Category,Film,Win_Oscar?,Year_Ceremony,Birth_Date,Birth_Place,Gender,Race or Ethnicity,Sexual orientation,Religion,Link
Diane Varsi,ACTRESS IN A SUPPORTING ROLE,Peyton Place,FALSO,1958,23-02-1938,"San Mateo, CA",Female,White,Straight,Na,http://www.nndb.com/people/343/000346302/
David Lean,DIRECTING,The Bridge on the River Kwai,VERDADERO,1958,25-03-1908,"Croydon, Surrey, England",Male,White,Straight,Na,/people/462/000032366/
Mark Robson,DIRECTING,Peyton Place,FALSO,1958,04-12-1913,"Montreal, Quebec, Canada",Male,White,Na,Na,http://www.nndb.com/people/337/000078103/
Joshua Logan,DIRECTING,Sayonara,FALSO,1958,05-10-1908,"Texarkana, TX",Male,White,Straight,Na,http://www.nndb.com/people/490/000135085/
Sidney Lumet,DIRECTING,12 Angry Men,FALSO,1958,25-06-1924,"Philadelphia, PA",Male,White,Straight,Jewish,http://www.nndb.com/people/978/000022912/
Billy Wilder,DIRECTING,Witness for the Prosecution,FALSO,1958,22-06-1906,"Sucha, Galicia, Austria",Male,White,Straight,Jewish,/people/982/000024910/
Tony Curtis,ACTOR,The Defiant Ones,FALSO,1959,03-06-1925,New York City,Male,White,Bisexual,Jewish,http://www.nndb.com/people/005/000022936/
Paul Newman,ACTOR,Cat on a Hot Tin Roof,FALSO,1959,26-01-1925,"Shaker Heights, OH",Male,White,Straight,Jewish,/people/804/000022738/
David Niven,ACTOR,Separate Tables,VERDADERO,1959,01-03-1909,"London, England",Male,White,Straight,Na,/people/690/000031597/
Sidney Poitier,ACTOR,The Defiant Ones,FALSO,1959,20-02-1927,"Miami, FL",Male,Black,Straight,Deist,/people/200/000023131/
Spencer Tracy,ACTOR,The Old Man and the Sea,FALSO,1959,05-04-1900,"Milwaukee, WI",Male,White,Straight,Roman Catholic,/people/979/000024907/
Theodore Bikel,ACTOR IN A SUPPORTING ROLE,The Defiant Ones,FALSO,1959,02-05-1924,"Vienna, Austria",Male,White,Straight,Jewish,http://www.nndb.com/people/253/000116902/
Lee J. Cobb,ACTOR IN A SUPPORTING ROLE,The Brothers Karamazov,FALSO,1959,08-12-1911,New York City,Male,White,Straight,Na,http://www.nndb.com/people/525/000051372/
Burl Ives,ACTOR IN A SUPPORTING ROLE,The Big Country,VERDADERO,1959,14-06-1909,"Hunt City, IL",Male,White,Straight,Na,/people/679/000042553/
Arthur Kennedy,ACTOR IN A SUPPORTING ROLE,Some Came Running,FALSO,1959,17-02-1914,"Worcester, MA",Male,White,Straight,Na,http://www.nndb.com/people/838/000110508/
Gig Young,ACTOR IN A SUPPORTING ROLE,Teacher's Pet,FALSO,1959,04-11-1913,"St. Cloud, MN",Male,White,Straight,Na,/people/110/000063918/
Susan Hayward,ACTRESS,I Want to Live!,VERDADERO,1959,30-06-1918,"Brooklyn, NY",Female,White,Straight,Roman Catholic,/people/805/000063616/
Deborah Kerr,ACTRESS,Separate Tables,FALSO,1959,30-09-1921,"Helensburgh, Scotland",Female,White,Straight,Na,http://www.nndb.com/people/715/000025640/
