nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;companias_produccion;paises_de_produccion;;
Frank Morgan;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Suspect;Mejor actor;No;1935;The Affairs of Cellini;;;;
William Powell;Masculino;Pittsburgh, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sherlock Holmes;Mejor actor;No;1935;The Thin Man;;;;
Claudette Colbert;Femenino;Saint-Mandé, Francia;Francesa;Estadounidense ;Blanca;Sí; For the Love of Mike;Mejor actriz;Sí;1935;It Happened One Night;;;;
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1935;Of Human Bondage;;;;
Grace Moore;Femenino;Slabtown, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Lady's Morals;Mejor actriz;No;1935;One Night of Love;;;;
Norma Shearer;Femenino;Montreal, Canadá;Canadiense;Estadounidense;Blanca;Sí; The Stealers;Mejor actriz;No;1935;The Barretts of Wimpole Street;;;;
Clark Gable;Masculino;Cádiz, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; White Man;Mejor actor;No;1936;Mutiny on the Bounty;;;;
Charles Laughton;Masculino;Scarborough, Inglaterra;Británica;Estadounidense ;Blanca;No; The Tonic;Mejor actor;No;1936;Mutiny on the Bounty;;;;
Victor McLaglen;Masculino;Tunbridge Wells, Inglaterra;Británica;Estadounidense ;Blanca;No; The Call of the Road;Mejor actor;Sí;1936;The Informer;;;;
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;No;1936;Black Fury;;;;
Franchot Tone;Masculino;Cataratas del Niágara, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Wiser Sex;Mejor actor;No;1936;Mutiny on the Bounty;;;;
Elisabeth Bergner;Femenino;Drohobych, Ucrania;Austríaca;No aplica;Blanca;No; Der Evangelimann;Mejor actriz;No;1936;Escape Me Never;;;;
Claudette Colbert;Femenino;Saint-Mandé, Francia;Francesa;Estadounidense ;Blanca;Sí; For the Love of Mike;Mejor actriz;No;1936;Private Worlds;;;;
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;Sí;1936;Dangerous;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1936;Alice Adams;;;;
Miriam Hopkins;Femenino;Savannah, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Fast and Loose;Mejor actriz;No;1936;Becky Sharp;;;;
Merle Oberon;Femenino;Mumbai, India;Británica ;Estadounidense;Multirracial;No; Wedding Rehearsal;Mejor actriz;No;1936;The Dark Angel;;;;
Gary Cooper;Masculino;Helena, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Winning of Barbara Worth;Mejor actor;No;1937;Mr. Deeds Goes to Town;;;;
Walter Huston;Masculino;Toronto, Canadá;Canadiense;Estadounidense;Blanca;Sí; Gentlemen of the Press;Mejor actor;No;1937;Dodsworth;;;;
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;Sí;1937;The Story of Louis Pasteur;;;;
William Powell;Masculino;Pittsburgh, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sherlock Holmes;Mejor actor;No;1937;My Man Godfrey;;;;
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1937;San Francisco;;;;
Irene Dunne;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Leathernecking;Mejor actriz;No;1937;Theodora Goes Wild;;;;
Gladys George;Femenino;Patten, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Red Hot Dollars;Mejor actriz;No;1937;Valiant Is the Word for Carrie;;;;
Carole Lombard;Femenino;Fort Wayne, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Perfect Crime;Mejor actriz;No;1937;My Man Godfrey;;;;
Luise Rainer;Femenino;Düsseldorf, Alemania;Alemana;Estadounidense;Blanca;No; Sehnsucht 202;Mejor actriz;Sí;1937;The Great Ziegfeld;;;;
Norma Shearer;Femenino;Montreal, Canadá;Canadiense;Estadounidense;Blanca;Sí; The Stealers;Mejor actriz;No;1937;Romeo and Juliet;;;;
Charles Boyer;Masculino;Figeac, Francia;Francesa;Estadounidense ;Blanca;No; L'Homme du large;Mejor actor;No;1938;Conquest;;;;
Fredric March;Masculino;Racine, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Dummy;Mejor actor;No;1938;A Star Is Born;;;;
