nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;companias_produccion;paises_de_produccion;;
Natalie Wood;Femenino;San Francisco, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tomorrow Is Forever;Mejor actriz;No;1962;Splendor in the Grass;;;;
Burt Lancaster;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Killers;Mejor actor;No;1963;Birdman of Alcatraz;;;;
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1963;Days of Wine and Roses;;;;
Marcello Mastroianni;Masculino;Frosinone, Italia;Italiana;No aplica;Blanca;No; Tempesta su Parigi;Mejor actor;No;1963;Divorce--Italian Style;;;;
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1963;Lawrence of Arabia;;;;
Gregory Peck;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Days of Glory;Mejor actor;Sí;1963;To Kill a Mockingbird;;;;
Anne Bancroft;Femenino;Bronx, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Don't Bother to Knock;Mejor actriz;Sí;1963;The Miracle Worker;;;;
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1963;What Ever Happened to Baby Jane?;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1963;Long Day's Journey into Night;;;;
Geraldine Page;Femenino;Kirksville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hondo;Mejor actriz;No;1963;Sweet Bird of Youth;;;;
Lee Remick;Femenino;Quincy, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Face in the Crowd;Mejor actriz;No;1963;Days of Wine and Roses;;;;
Albert Finney;Masculino;Salford, Inglaterra;Británica;No aplica;Blanca;No; The Entertainer;Mejor actor;No;1964;Tom Jones;;;;
Richard Harris;Masculino;Limerick, Irlanda;Irlandesa;No aplica;Blanca;No; Alive and Kicking;Mejor actor;No;1964;This Sporting Life;;;;
Rex Harrison;Masculino;Huyton, Inglaterra;Británica;No aplica;Blanca;No; The Great Game;Mejor actor;No;1964;Cleopatra;;;;
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1964;Hud;;;;
Sidney Poitier;Masculino;Miami, Estados Unidos;Bahameña;Estadounidense;Negra;Sí; No Way Out;Mejor actor;Sí;1964;Lilies of the Field;;;;
Leslie Caron;Femenino;Boulogne-Billancourt, Francia;Francesa;Estadounidense ;Blanca;Sí; An American in Paris;Mejor actriz;No;1964;The L-Shaped Room;;;;
Shirley MacLaine;Femenino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Trouble with Harry;Mejor actriz;No;1964;Irma La Douce;;;;
Patricia Neal;Femenino;Packard, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; John Loves Mary;Mejor actriz;Sí;1964;Hud;;;;
Rachel Roberts;Femenino;Llanelli, Gales;Británica;No aplica;Blanca;No; Valley of Song;Mejor actriz;No;1964;This Sporting Life;;;;
Natalie Wood;Femenino;San Francisco, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tomorrow Is Forever;Mejor actriz;No;1964;Love with the Proper Stranger;;;;
Richard Burton;Masculino;Pontrhydyfen, Reino Unido;Británica ;No aplica;Blanca;No; The Last Days of Dolwyn;Mejor actor;No;1965;Becket;;;;
Rex Harrison;Masculino;Huyton, Inglaterra;Británica;No aplica;Blanca;No; The Great Game;Mejor actor;Sí;1965;My Fair Lady;;;;
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1965;Becket;;;;
Anthony Quinn;Masculino;Chihuahua, México;Mexicana;Estadounidense ;Hispana;Sí; Parole!;Mejor actor;No;1965;Zorba the Greek;;;;
Peter Sellers;Masculino;Southsea, Inglaterra;Británica;No aplica;Blanca;No; Penny Points to Paradise;Mejor actor;No;1965;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;;;;
Julie Andrews;Femenino;Walton-on-Thames, Inglaterra;Británica;No aplica;Blanca;Sí; Mary Poppins;Mejor actriz;Sí;1965;Mary Poppins;;;;
Anne Bancroft;Femenino;Bronx, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Don't Bother to Knock;Mejor actriz;No;1965;The Pumpkin Eater;;;;
Sophia Loren;Femenino;Roma, Italia;Italiana;Francesa;Blanca;No; Lebbra bianca;Mejor actriz;No;1965;Marriage Italian Style;;;;
Debbie Reynolds;Femenino;El Paso, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Daughter of Rosie O'Grady;Mejor actriz;No;1965;The Unsinkable Molly Brown;;;;
Kim Stanley;Femenino;Tularosa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; he Goddess;Mejor actriz;No;1965;Seance on a Wet Afternoon;;;;
Richard Burton;Masculino;Pontrhydyfen, Reino Unido;Británica ;No aplica;Blanca;No; The Last Days of Dolwyn;Mejor actor;No;1966;The Spy Who Came In from the Cold;;;;
Lee Marvin;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Duel at Silver Creek;Mejor actor;Sí;1966;Cat Ballou;;;;
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1966;Othello;;;;
Rod Steiger;Masculino;Westhampton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Teresa;Mejor actor;No;1966;The Pawnbroker;;;;
Oskar Werner;Masculino;Viena, Austria;Austríaca;No aplica;Blanca;No; Geld fällt vom Himmel;Mejor actor;No;1966;Ship of Fools;;;;
Julie Andrews;Femenino;Walton-on-Thames, Inglaterra;Británica;No aplica;Blanca;Sí; Mary Poppins;Mejor actriz;No;1966;The Sound of Music;;;;
Julie Christie;Femenino;Chabua, India;Británica;No aplica;Blanca;No; Crooks Anonymous;Mejor actriz;Sí;1966;Darling;;;;
Samantha Eggar;Femenino;Hampstead, Inglaterra;Británica;Estadounidense;Blanca;No; The Wild and the Willing;Mejor actriz;No;1966;The Collector;;;;
Elizabeth Hartman;Femenino;Youngstown, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Patch of Blue;Mejor actriz;No;1966;A Patch of Blue;;;;
Simone Signoret;Femenino;Wiesbaden, Alemania;Francesa ;No aplica;Blanca;No; Béatrice devant le désir;Mejor actriz;No;1966;Ship of Fools;;;;
Alan Arkin;Masculino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Russians Are Coming the Russians Are Coming;Mejor actor;No;1967;The Russians Are Coming The Russians Are Coming;;;;
Richard Burton;Masculino;Pontrhydyfen, Reino Unido;Británica ;No aplica;Blanca;No; The Last Days of Dolwyn;Mejor actor;No;1967;Who's Afraid of Virginia Woolf?;;;;
Michael Caine;Masculino;Rotherhithe, Inglaterra;Británica;No aplica;Blanca;No; A Hill in Korea;Mejor actor;No;1967;Alfie;;;;
Steve McQueen;Masculino;Beech Grove, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Family Affair;Mejor actor;No;1967;The Sand Pebbles;;;;
Paul Scofield;Masculino;Hurstpierpoint, Inglaterra;Británica;No aplica;Blanca;Sí; That Lady;Mejor actor;Sí;1967;A Man for All Seasons;;;;
Anouk Aimée;Femenino;París, Francia;Francesa;No aplica;Blanca;No; La maison sous la mer;Mejor actriz;No;1967;A Man and a Woman;;;;
Ida Kaminska;Femenino;Odesa, Ucrania;Polaca;No aplica;Blanca;No; Tkies khaf;Mejor actriz;No;1967;The Shop on Main Street;;;;
Lynn Redgrave;Femenino;Londres, Inglaterra;Británica;No aplica;Blanca;No; Tom Jones;Mejor actriz;No;1967;Georgy Girl;;;;
Vanessa Redgrave;Femenino;Blackheath, Inglaterra;Británica;No aplica;Blanca;No; Behind the Mask;Mejor actriz;No;1967;Morgan!;;;;
Elizabeth Taylor;Femenino;Londres, Inglaterra;Británica;Estadounidense;Blanca;Sí; There's One Born Every Minute;Mejor actriz;Sí;1967;Who's Afraid of Virginia Woolf?;;;;
Warren Beatty;Masculino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Splendor in the Grass;Mejor actor;No;1968;Bonnie and Clyde;;;;
Dustin Hoffman;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Tiger Makes Out;Mejor actor;No;1968;The Graduate;;;;
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1968;Cool Hand Luke;;;;
Rod Steiger;Masculino;Westhampton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Teresa;Mejor actor;Sí;1968;In the Heat of the Night;;;;
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1968;Guess Who's Coming to Dinner;;;;
Anne Bancroft;Femenino;Bronx, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Don't Bother to Knock;Mejor actriz;No;1968;The Graduate;;;;
Faye Dunaway;Femenino;Bascom, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hurry Sundown;Mejor actriz;No;1968;Bonnie and Clyde;;;;
Dame Edith Evans;Femenino;Pimlico, Inglaterra;Británica;No aplica;Blanca;No; Honeymoon for Three;Mejor actriz;No;1968;The Whisperers;;;;
Audrey Hepburn;Femenino;Ixelles, Bélgica;Británica;No aplica;Blanca;No; One Wild Oat;Mejor actriz;No;1968;Wait until Dark;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;Sí;1968;Guess Who's Coming to Dinner;;;;
Alan Arkin;Masculino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Russians Are Coming the Russians Are Coming;Mejor actor;No;1969;The Heart Is a Lonely Hunter;;;;
Alan Bates;Masculino;Allestree, Inglaterra;Británica;No aplica;Blanca;No; The Entertainer;Mejor actor;No;1969;The Fixer;;;;
Ron Moody;Masculino;Tottenham, Inglaterra;Británica;No aplica;Blanca;No; Follow a Star;Mejor actor;No;1969;Oliver!;;;;
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1969;The Lion in Winter;;;;
Cliff Robertson;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Picnic;Mejor actor;Sí;1969;Charly;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;Sí;1969;The Lion in Winter;;;;
Patricia Neal;Femenino;Packard, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; John Loves Mary;Mejor actriz;No;1969;The Subject Was Roses;;;;
Vanessa Redgrave;Femenino;Blackheath, Inglaterra;Británica;No aplica;Blanca;No; Behind the Mask;Mejor actriz;No;1969;Isadora;;;;
Barbra Streisand;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Funny Girl;Mejor actriz;Sí;1969;Funny Girl;;;;
Joanne Woodward;Femenino;Thomasville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Count Three and Pray;Mejor actriz;No;1969;Rachel, Rachel;;;;
Richard Burton;Masculino;Pontrhydyfen, Reino Unido;Británica ;No aplica;Blanca;No; The Last Days of Dolwyn;Mejor actor;No;1970;Anne of the Thousand Days;;;;
Dustin Hoffman;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Tiger Makes Out;Mejor actor;No;1970;Midnight Cowboy;;;;
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1970;Goodbye, Mr. Chips;;;;
Jon Voight;Masculino;Yonkers, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Fearless Frank;Mejor actor;No;1970;Midnight Cowboy;;;;
John Wayne;Masculino;Winterset, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Words and Music;Mejor actor;Sí;1970;True Grit;;;;
Genevieve Bujold;Femenino;Montreal, Canadá;Canadiense;No aplica;Blanca;No; Amanita Pestilens;Mejor actriz;No;1970;Anne of the Thousand Days;;;;
Jane Fonda;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tall Story;Mejor actriz;No;1970;They Shoot Horses, Don't They?;;;;
Liza Minnelli;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;No; Charlie Bubbles;Mejor actriz;No;1970;The Sterile Cuckoo;;;;
Jean Simmons;Femenino;Crouch Hill, Inglaterra;Británica;Estadounidense;Blanca;No; Give Us the Moon;Mejor actriz;No;1970;The Happy Ending;;;;
Maggie Smith;Femenino;Ilford, Inglaterra;Británica;No aplica;Blanca;Sí; Nowhere to Go;Mejor actriz;Sí;1970;The Prime of Miss Jean Brodie;;;;
Melvyn Douglas;Masculino;Macon, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tonight or Never;Mejor actor;No;1971;I Never Sang for My Father;;;;
James Earl Jones;Masculino;Arkabutla, Estados Unidos;Estadounidense;No aplica;Negra;No; Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Mejor actor;No;1971;The Great White Hope;;;;
Jack Nicholson;Masculino;Neptune City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Cry Baby Killer;Mejor actor;No;1971;Five Easy Pieces;;;;
Ryan O'Neal;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Big Bounce;Mejor actor;No;1971;Love Story;;;;
George C. Scott;Masculino;Wise, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Hanging Tree;Mejor actor;Sí;1971;Patton;;;;
Jane Alexander;Femenino;Boston, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Great White Hope;Mejor actriz;No;1971;The Great White Hope;;;;
Glenda Jackson;Femenino;Birkenhead, Inglaterra;Británica;No aplica;Blanca;No; Marat/Sade;Mejor actriz;Sí;1971;Women in Love;;;;
Ali MacGraw;Femenino;Pound Ridge, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Goodbye,  Columbus;Mejor actriz;No;1971;Love Story;;;;
Sarah Miles;Femenino;Ingatestone, Inglaterra;Británica;No aplica;Blanca;No; Term of Trial;Mejor actriz;No;1971;Ryan's Daughter;;;;
Carrie Snodgress;Femenino;Park Ridge, Estados Unidos;Estadounidense;No aplica;Blanca;Sí;  Diary of a Mad Housewife;Mejor actriz;No;1971;Diary of a Mad Housewife;;;;
Peter Finch;Masculino;South Kensington, Inglaterra;Británica;Australiana;Blanca;No; Dad and Dave Come to Town;Mejor actor;No;1972;Sunday Bloody Sunday;;;;
Gene Hackman;Masculino;San Bernardino, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lilith;Mejor actor;Sí;1972;The French Connection;;;;
Walter Matthau;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Kentuckian;Mejor actor;No;1972;Kotch;;;;
George C. Scott;Masculino;Wise, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Hanging Tree;Mejor actor;No;1972;The Hospital;;;;
Topol;Masculino;Tel Aviv, Israel;Israelí;No aplica;Blanca;No; I Like Mike;Mejor actor;No;1972;Fiddler on the Roof;;;;
Julie Christie;Femenino;Chabua, India;Británica;No aplica;Blanca;No; Crooks Anonymous;Mejor actriz;No;1972;McCabe & Mrs. Miller;;;;
Jane Fonda;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tall Story;Mejor actriz;Sí;1972;Klute;;;;
Glenda Jackson;Femenino;Birkenhead, Inglaterra;Británica;No aplica;Blanca;No; Marat/Sade;Mejor actriz;No;1972;Sunday Bloody Sunday;;;;
Vanessa Redgrave;Femenino;Blackheath, Inglaterra;Británica;No aplica;Blanca;No; Behind the Mask;Mejor actriz;No;1972;Mary, Queen of Scots;;;;
Janet Suzman;Femenino;Johannesburgo, Sudáfrica;Británica;Sudafricana;Blanca;No; Nicholas and Alexandra;Mejor actriz;No;1972;Nicholas and Alexandra;;;;
Marlon Brando;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Men;Mejor actor;Sí;1973;The Godfather;;;;
Michael Caine;Masculino;Rotherhithe, Inglaterra;Británica;No aplica;Blanca;No; A Hill in Korea;Mejor actor;No;1973;Sleuth;;;;
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1973;Sleuth;;;;
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1973;The Ruling Class;;;;
Paul Winfield;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Negra;Sí; The Lost Man;Mejor actor;No;1973;Sounder;;;;
Liza Minnelli;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;No; Charlie Bubbles;Mejor actriz;Sí;1973;Cabaret;;;;
Diana Ross;Femenino;Detroit, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Lady Sings the Blues;Mejor actriz;No;1973;Lady Sings the Blues;;;;
Maggie Smith;Femenino;Ilford, Inglaterra;Británica;No aplica;Blanca;Sí; Nowhere to Go;Mejor actriz;No;1973;Travels with My Aunt;;;;
Cicely Tyson;Femenino;Harlem, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carib Gold;Mejor actriz;No;1973;Sounder;;;;
Liv Ullmann;Femenino;Tokio, Japón;Noruega;No aplica;Blanca;No; Ung flukt;Mejor actriz;No;1973;The Emigrants;;;;
Marlon Brando;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Men;Mejor actor;No;1974;Last Tango in Paris;;;;
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;Sí;1974;Save the Tiger;;;;
Jack Nicholson;Masculino;Neptune City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Cry Baby Killer;Mejor actor;No;1974;The Last Detail;;;;
Al Pacino;Masculino;East Harlem, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Me, Natalie;Mejor actor;No;1974;Serpico;;;;
Robert Redford;Masculino;Santa Mónica, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; War Hunt;Mejor actor;No;1974;The Sting;;;;
Ellen Burstyn;Femenino;Detroit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; For Those Who Think Young;Mejor actriz;No;1974;The Exorcist;;;;
Glenda Jackson;Femenino;Birkenhead, Inglaterra;Británica;No aplica;Blanca;No; Marat/Sade;Mejor actriz;Sí;1974;A Touch of Class;;;;
Marsha Mason;Femenino;San Luis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hot Rod Hullabaloo;Mejor actriz;No;1974;Cinderella Liberty;;;;
Barbra Streisand;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Funny Girl;Mejor actriz;No;1974;The Way We Were;;;;
Joanne Woodward;Femenino;Thomasville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Count Three and Pray;Mejor actriz;No;1974;Summer Wishes, Winter Dreams;;;;
Art Carney;Masculino;Mount Vernon, Estados Unidos;Estadounidense;No aplica;Blanca;No; The Yellow Rolls-Royce;Mejor actor;Sí;1975;Harry and Tonto;;;;
Albert Finney;Masculino;Salford, Inglaterra;Británica;No aplica;Blanca;No; The Entertainer;Mejor actor;No;1975;Murder on the Orient Express;;;;
Dustin Hoffman;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Tiger Makes Out;Mejor actor;No;1975;Lenny;;;;
Jack Nicholson;Masculino;Neptune City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Cry Baby Killer;Mejor actor;No;1975;Chinatown;;;;
Al Pacino;Masculino;East Harlem, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Me, Natalie;Mejor actor;No;1975;The Godfather Part II;;;;
Ellen Burstyn;Femenino;Detroit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; For Those Who Think Young;Mejor actriz;Sí;1975;Alice Doesn't Live Here Anymore;;;;
Diahann Carroll;Femenino;Bronx, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carmen Jones;Mejor actriz;No;1975;Claudine;;;;
Faye Dunaway;Femenino;Bascom, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hurry Sundown;Mejor actriz;No;1975;Chinatown;;;;
Valerie Perrine;Femenino;Galveston, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Slaughterhouse-Five;Mejor actriz;No;1975;Lenny;;;;
Gena Rowlands;Femenino;Cambria, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The High Cost of Loving;Mejor actriz;No;1975;A Woman under the Influence;;;;
Walter Matthau;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Kentuckian;Mejor actor;No;1976;The Sunshine Boys;;;;
Jack Nicholson;Masculino;Neptune City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Cry Baby Killer;Mejor actor;Sí;1976;One Flew over the Cuckoo's Nest;;;;
Al Pacino;Masculino;East Harlem, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Me, Natalie;Mejor actor;No;1976;Dog Day Afternoon;;;;
Maximilian Schell;Masculino;Viena, Austria;Austríaca;Suiza;Blanca;No; Kinder,  Mütter und ein General;Mejor actor;No;1976;The Man in the Glass Booth;;;;
James Whitmore;Masculino;White Plains, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Undercover Man;Mejor actor;No;1976;Give 'em Hell, Harry!;;;;
Isabelle Adjani;Femenino;París, Francia;Francesa;No aplica;Multirracial;No; Le petit bougnat;Mejor actriz;No;1976;The Story of Adele H.;;;;
Ann-Margret;Femenino;Valsjobyn, Suecia;Sueca;Estadounidense;Blanca;Sí; Pocketful of Miracles;Mejor actriz;No;1976;Tommy;;;;
Louise Fletcher;Femenino;Birmingham, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Gathering of Eagles;Mejor actriz;Sí;1976;One Flew over the Cuckoo's Nest;;;;
Glenda Jackson;Femenino;Birkenhead, Inglaterra;Británica;No aplica;Blanca;No; Marat/Sade;Mejor actriz;No;1976;Hedda;;;;
Carol Kane;Femenino;Cleveland, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Desperate Characters;Mejor actriz;No;1976;Hester Street;;;;
Robert De Niro;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Greetings;Mejor actor;No;1977;Taxi Driver;;;;
Peter Finch;Masculino;South Kensington, Inglaterra;Británica;Australiana;Blanca;No; Dad and Dave Come to Town;Mejor actor;Sí;1977;Network;;;;
Giancarlo Giannini;Masculino;La Spezia, Italia;Italiana;No aplica;Blanca;No; Libìdo;Mejor actor;No;1977;Seven Beauties;;;;
William Holden;Masculino;O'Fallon, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Golden Boy;Mejor actor;No;1977;Network;;;;
Sylvester Stallone;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Square Root;Mejor actor;No;1977;Rocky;;;;
Marie-Christine Barrault;Femenino;París, Francia;Francesa;No aplica;Blanca;No; Ma nuit chez Maud;Mejor actriz;No;1977;Cousin, Cousine;;;;
Faye Dunaway;Femenino;Bascom, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hurry Sundown;Mejor actriz;Sí;1977;Network;;;;
Talia Shire;Femenino;Long Island, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Wild Racers;Mejor actriz;No;1977;Rocky;;;;
Sissy Spacek;Femenino;Quitman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prime Cut;Mejor actriz;No;1977;Carrie;;;;
Liv Ullmann;Femenino;Tokio, Japón;Noruega;No aplica;Blanca;No; Ung flukt;Mejor actriz;No;1977;Face to Face;;;;
Woody Allen;Masculino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; What's New Pussycat;Mejor actor;No;1978;Annie Hall;;;;
Richard Burton;Masculino;Pontrhydyfen, Reino Unido;Británica ;No aplica;Blanca;No; The Last Days of Dolwyn;Mejor actor;No;1978;Equus;;;;
Richard Dreyfuss;Masculino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Young Runaways;Mejor actor;Sí;1978;The Goodbye Girl;;;;
Marcello Mastroianni;Masculino;Frosinone, Italia;Italiana;No aplica;Blanca;No; Tempesta su Parigi;Mejor actor;No;1978;A Special Day;;;;
John Travolta;Masculino;Englewood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Devil's Rain;Mejor actor;No;1978;Saturday Night Fever;;;;
Anne Bancroft;Femenino;Bronx, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Don't Bother to Knock;Mejor actriz;No;1978;The Turning Point;;;;
Jane Fonda;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tall Story;Mejor actriz;No;1978;Julia;;;;
Diane Keaton;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lovers and Other Strangers;Mejor actriz;Sí;1978;Annie Hall;;;;
Shirley MacLaine;Femenino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Trouble with Harry;Mejor actriz;No;1978;The Turning Point;;;;
Marsha Mason;Femenino;San Luis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hot Rod Hullabaloo;Mejor actriz;No;1978;The Goodbye Girl;;;;
Warren Beatty;Masculino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Splendor in the Grass;Mejor actor;No;1979;Heaven Can Wait;;;;
Gary Busey;Masculino;Goose Creek, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Angels Hard as They Come;Mejor actor;No;1979;The Buddy Holly Story;;;;
Robert De Niro;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Greetings;Mejor actor;No;1979;The Deer Hunter;;;;
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1979;The Boys from Brazil;;;;
Jon Voight;Masculino;Yonkers, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Fearless Frank;Mejor actor;Sí;1979;Coming Home;;;;
Ingrid Bergman;Femenino;Estocolmo, Suecia;Sueca ;No aplica;Blanca;No; Munkbrogreven;Mejor actriz;No;1979;Autumn Sonata;;;;
Ellen Burstyn;Femenino;Detroit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; For Those Who Think Young;Mejor actriz;No;1979;Same Time, Next Year;;;;
Jill Clayburgh;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Wedding Party;Mejor actriz;No;1979;An Unmarried Woman;;;;
Jane Fonda;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tall Story;Mejor actriz;Sí;1979;Coming Home;;;;
