nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;ano_pelicula_nominada;original_language;genres;production_companies;production_countries;spoken_languages
Peter Sellers;Masculino;Southsea, Inglaterra;Británica;No aplica;Blanca;No; Penny Points to Paradise;Mejor actor;No;1980;Being There;1979;ingles;Comedy, Drama;United Artists, Lorimar Film Entertainment, BSB, CIP, NatWest Ventures, New Gold Entertainment, Northstar Media;Alemania, Estados Unidos;Ingles
Al Pacino;Masculino;East Harlem, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Me, Natalie;Mejor actor;No;1980;...And Justice for All;1979;ingles;Drama;Columbia Pictures;Estados Unidos;Checo, Ingles
Roy Scheider;Masculino;Orange, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Curse of the Living Corpse;Mejor actor;No;1980;All That Jazz;1979;ingles;Drama;Columbia Pictures, 20th Century Fox;Estados Unidos;Ingles
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1980;The China Syndrome;1979;ingles;Drama, Thriller;Columbia Pictures, IPC Films;Estados Unidos;Ingles
Jane Fonda;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tall Story;Mejor actriz;No;1980;The China Syndrome;1979;ingles;Drama, Thriller;Columbia Pictures, IPC Films;Estados Unidos;Ingles
Sally Field;Femenino;Pasadena, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Way West;Mejor actriz;Sí;1980;Norma Rae;1979;ingles;Drama;20th Century Fox;Estados Unidos;Ingles
Bette Midler;Femenino;Honolulú, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Rose;Mejor actriz;No;1980;The Rose;1979;ingles;Drama, Music, Romance;20th Century Fox;Estados Unidos;Ingles
Jill Clayburgh;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Wedding Party;Mejor actriz;No;1980;Starting Over;1979;ingles;Comedy, Romance;Paramount;Estados Unidos;Ingles
Marsha Mason;Femenino;San Luis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hot Rod Hullabaloo;Mejor actriz;No;1980;Chapter Two;1979;ingles;Comedy, Drama, Romance;Columbia Pictures, Rastar Productions;Estados Unidos;Ingles
Robert De Niro;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Greetings;Mejor actor;Sí;1981;Raging Bull;1980;ingles;Drama;United Artists;Estados Unidos;Ingles
John Hurt;Masculino;Chesterfield, Inglaterra;Británica;No aplica;Blanca;No; The Wild and the Willing;Mejor actor;No;1981;The Elephant Man;1980;ingles;Drama, History;Brooksfilms, Paramount;Estados Unidos;Ingles
Mary Tyler Moore;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; X-15;Mejor actriz;No;1981;Ordinary People;1980;ingles;Drama;Paramount, Wildwood Enterprises;Estados Unidos;Ingles
Goldie Hawn;Femenino;Washington D.C., Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The One and Only, Genuine, Original Family Band ;Mejor actriz;No;1981;Private Benjamin;1980;ingles;Comedy;Warner Bros. Pictures;Estados Unidos;Ingles
Sissy Spacek;Femenino;Quitman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prime Cut;Mejor actriz;Sí;1981;Coal Miner's Daughter;1980;ingles;Music, Drama;Universal Pictures;Estados Unidos;Ingles
Gena Rowlands;Femenino;Cambria, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The High Cost of Loving;Mejor actriz;No;1981;Gloria;1980;ingles;Crime, Drama, Thriller;Columbia Pictures;Estados Unidos;Ingles, Español
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1981;The Stunt Man;1980;ingles;Action, Comedy, Drama, Thriller;Simon Productions, 20th Century Fox;Estados Unidos;Ingles
Ellen Burstyn;Femenino;Detroit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; For Those Who Think Young;Mejor actriz;No;1981;Resurrection;1980;ingles;Drama, Fantasy;Universal Pictures;Estados Unidos;Ingles
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1981;Tribute;1980;ingles;Comedy, Drama;Tiberius Film Productions, The Turman-Foster Company;;Aleman, Ingles
Robert Duvall;Masculino;San Diego, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; To Kill a Mockingbird;Mejor actor;No;1981;The Great Santini;1980;Inglés;Drama;Orion Pictures, Bing Crosby Productions;Estados Unidos;Inglés
Henry Fonda;Masculino;Grand Island, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Farmer Takes a Wife;Mejor actor;Sí;1982;On Golden Pond;1981;ingles;Drama, Romance;Universal Pictures, IPC Films, ITC Entertainment;Estados Unidos;Ingles
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;Sí;1982;On Golden Pond;1981;ingles;Drama, Romance;Universal Pictures, IPC Films, ITC Entertainment;Estados Unidos;Ingles
Dudley Moore;Masculino;Dagenham, Inglaterra;Británica;No aplica;Blanca;No; The Wrong Box;Mejor actor;No;1982;Arthur;1981;ingles;Comedy, Drama, Romance;Orion Pictures, Jack Rollins & Charles H. Joffe Productions;Estados Unidos;Ingles
Warren Beatty;Masculino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Splendor in the Grass;Mejor actor;No;1982;Reds;1981;ingles;Drama, History, Romance;JRS Productions, Barclays Mercantile Industrial Finance, Paramount;Estados Unidos;Ingles, Finnish, Frances, Aleman, Italiano, Ruso
Diane Keaton;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lovers and Other Strangers;Mejor actriz;No;1982;Reds;1981;ingles;Drama, History, Romance;JRS Productions, Barclays Mercantile Industrial Finance, Paramount;Estados Unidos;Ingles, Finnish, Frances, Aleman, Italiano, Ruso
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1982;The French Lieutenant's Woman;1981;ingles;Drama, Romance, History;Juniper Films;Reino Unido;Ingles
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1982;Absence of Malice;1981;ingles;Crime, Drama, Romance;Mirage Enterprises, Columbia Pictures;Estados Unidos;Ingles
Marsha Mason;Femenino;San Luis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hot Rod Hullabaloo;Mejor actriz;No;1982;Only When I Laugh;1981;ingles;Comedy, Drama;Columbia Pictures;Estados Unidos;Ingles
Burt Lancaster;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Killers;Mejor actor;No;1982;Atlantic City;1981;Inglés;Drama, Crimen, Romance;Selta Films, International Cinema Corporation, Ambassador Film Productions;Canadá, Francia;Inglés
Susan Sarandon;Femenino;Queens, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Joe;Mejor actriz;No;1982;Atlantic City;1981;Inglés;Drama, Crimen, Romance;Selta Films, International Cinema Corporation, Ambassador Film Productions;Canadá, Francia;Inglés
Ben Kingsley;Masculino;Scarborough, Inglaterra;Británica;No aplica;Multirracial;No; Fear Is the Key;Mejor actor;Sí;1983;Gandhi;1982;ingles;Drama, History;Goldcrest, Indo-British, International Film Investors, National Film Development Corporation of India, Columbia Pictures;India, Reino Unido;Ingles, Hindi
Dustin Hoffman;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Tiger Makes Out;Mejor actor;No;1983;Tootsie;1982;ingles;Comedy, Romance;Mirage Enterprises, Punch Productions, Delphi Films, Columbia Pictures;Estados Unidos;Ingles
Debra Winger;Femenino;Cleveland, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Slumber Party '57;Mejor actriz;No;1983;An Officer and a Gentleman;1982;ingles;Drama, Romance;Paramount, Lorimar Film Entertainment;Estados Unidos;Ingles
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;Sí;1983;Sophie's Choice;1982;ingles;Drama, Romance, War;ITC Entertainment, Keith Barish Productions, Universal Pictures;Reino Unido, Estados Unidos;Checo, Aleman, Frances, Polaco, Ruso, Ingles
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1983;The Verdict;1982;ingles;Drama;20th Century Fox;Estados Unidos;Ingles
Julie Andrews;Femenino;Walton-on-Thames, Inglaterra;Británica;No aplica;Blanca;Sí; Mary Poppins;Mejor actriz;No;1983;Victor/Victoria;1982;ingles;Comedy, Music, Romance;Peerford Ltd., Artista Management, Metro-Goldwyn-Mayer;Reino Unido, Estados Unidos;Ingles, Frances
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1983;Missing;1982;ingles;Drama, Mystery, Thriller;Universal Pictures;Mexico, Estados Unidos;Ingles, Español
Sissy Spacek;Femenino;Quitman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prime Cut;Mejor actriz;No;1983;Missing;1982;ingles;Drama, Mystery, Thriller;Universal Pictures;Mexico, Estados Unidos;Ingles, Español
Jessica Lange;Femenino;Cloquet, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; King Kong;Mejor actriz;No;1983;Frances;1982;ingles;Drama;Brooksfilms, EMI Films;Estados Unidos;Ingles
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1983;My Favorite Year;1982;ingles;Comedy, Drama;Brooksfilms, Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Shirley MacLaine;Femenino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Trouble with Harry;Mejor actriz;Sí;1984;Terms of Endearment;1983;ingles;Drama, Comedy;Paramount;Estados Unidos;Ingles
Debra Winger;Femenino;Cleveland, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Slumber Party '57;Mejor actriz;No;1984;Terms of Endearment;1983;ingles;Drama, Comedy;Paramount;Estados Unidos;Ingles
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1984;Silkwood;1983;ingles;Drama, Thriller;ABC Pictures;Estados Unidos;Ingles
Michael Caine;Masculino;Rotherhithe, Inglaterra;Británica;No aplica;Blanca;No; A Hill in Korea;Mejor actor;No;1984;Educating Rita;1983;ingles;Drama, Comedy;Acorn Pictures, Columbia Pictures;Reino Unido;Ingles
Julie Walters;Femenino;Birmingham, Inglaterra;Británica;No aplica;Blanca;No; Educating Rita;Mejor actriz;No;1984;Educating Rita;1983;ingles;Drama, Comedy;Acorn Pictures, Columbia Pictures;Reino Unido;Ingles
Jane Alexander;Femenino;Boston, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Great White Hope;Mejor actriz;No;1984;Testament;1983;ingles;Drama, Science Fiction;American Playhouse, Entertainment Events, Paramount;Estados Unidos;Ingles
Robert Duvall;Masculino;San Diego, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; To Kill a Mockingbird;Mejor actor;Sí;1984;Tender Mercies;1983;ingles;Drama, Music, Romance;Antron Media Production;Estados Unidos;Ingles
Tom Courtenay;Masculino;Hull, Inglaterra;Británica;No aplica;Blanca;No; The Loneliness of the Long Distance Runner;Mejor actor;No;1984;The Dresser;1983;ingles;Drama;Columbia Pictures;Reino Unido;Ingles
Albert Finney;Masculino;Salford, Inglaterra;Británica;No aplica;Blanca;No; The Entertainer;Mejor actor;No;1984;The Dresser;1983;ingles;Drama;Columbia Pictures;Reino Unido;Ingles
Tom Conti;Masculino;Paisley, Escocia;Británica;No aplica;Blanca;Sí; Galileo;Mejor actor;No;1984;Reuben, Reuben;1983;ingles;Drama, Comedy, Romance;Saltair ProductionsTAFT, Entertainment Pictures;Estados Unidos;Ingles
F. Murray Abraham;Masculino;Pittsburgh, Estados Unidos;Estadounidense;No aplica;Mediooriental;Sí; They Might Be Giants;Mejor actor;Sí;1985;Amadeus;1984;ingles;History, Music, Drama;AMLF, The Saul Zaentz Company;Estados Unidos;Ingles, Aleman, Italiano, Latin
Tom Hulce;Masculino;Detroit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; September 30, 1955;Mejor actor;No;1985;Amadeus;1984;ingles;History, Music, Drama;AMLF, The Saul Zaentz Company;Estados Unidos;Ingles, Aleman, Italiano, Latin
Jeff Bridges;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Halls of Anger;Mejor actor;No;1985;Starman;1984;ingles;Science Fiction, Romance, Drama;Columbia Pictures, Industrial Light & Magic, Delphi II Productions;Estados Unidos;Ingles
Sam Waterston;Masculino;Cambridge, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Plastic Dome of Norma Jean;Mejor actor;No;1985;The Killing Fields;1984;ingles;Drama, History, War;Goldcrest, Enigma Productions, International Film Investors;Reino Unido;Khmer, Frances, Ruso, Ingles
Judy Davis;Femenino;Perth, Australia;Australiana;No aplica;Blanca;No; High Rolling;Mejor actriz;No;1985;A Passage to India;1984;ingles;Drama, Adventure, History;EMI Films, Thorn EMI Screen Entertainment, HBO;Reino Unido, Estados Unidos;Ingles, Hindi
Sally Field;Femenino;Pasadena, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Way West;Mejor actriz;Sí;1985;Places in the Heart;1984;ingles;Drama;TriStar Pictures, Delphi II Productions;Estados Unidos;Ingles
Sissy Spacek;Femenino;Quitman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prime Cut;Mejor actriz;No;1985;The River;1984;ingles;Drama;Universal Pictures;Estados Unidos;Ingles
Albert Finney;Masculino;Salford, Inglaterra;Británica;No aplica;Blanca;No; The Entertainer;Mejor actor;No;1985;Under the Volcano;1984;ingles;Drama;Conacite Uno, Ithaca, Universal Pictures;Mexico, Estados Unidos;Español, Ingles
Vanessa Redgrave;Femenino;Blackheath, Inglaterra;Británica;No aplica;Blanca;No; Behind the Mask;Mejor actriz;No;1985;The Bostonians;1984;ingles;Drama, Romance;Merchant Ivory Productions;Reino Unido, Estados Unidos;Ingles
Jessica Lange;Femenino;Cloquet, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; King Kong;Mejor actriz;No;1985;Country;1984;ingles;Drama;Touchstone Pictures;Estados Unidos;Ingles
Whoopi Goldberg;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Citizen;Mejor actriz;No;1986;The Color Purple;1985;ingles;Drama, History;Amblin Entertainment, The Guber-Peters Company, Warner Bros. Pictures;Estados Unidos;Ingles
Harrison Ford;Masculino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Time for Killing;Mejor actor;No;1986;Witness;1985;ingles;Crime, Drama, Romance, Thriller;Paramount;Estados Unidos;Aleman, Ingles
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1986;Out of Africa;1985;ingles;History, Romance, Drama;Universal Pictures, Mirage Entertainment, Mirage Enterprises;Estados Unidos;Ingles, Swahili
Jon Voight;Masculino;Yonkers, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Fearless Frank;Mejor actor;No;1986;Runaway Train;1985;ingles;Action, Thriller, Drama, Adventure;Golan-Globus Productions, Northbrook Films, Cannon Group;Estados Unidos;Ingles
Jack Nicholson;Masculino;Neptune City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Cry Baby Killer;Mejor actor;No;1986;Prizzi's Honor;1985;ingles;Romance, Comedy, Crime;ABC Pictures, 20th Century Fox;Estados Unidos;Ingles
William Hurt;Masculino;Washington D.C., Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Altered States;Mejor actor;Sí;1986;Kiss of the Spider Woman;1985;ingles;Drama;HB Filmes;Brasil, Estados Unidos;Ingles, Frances, Aleman, Italiano, Portuguese
Anne Bancroft;Femenino;Bronx, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Don't Bother to Knock;Mejor actriz;No;1986;Agnes of God;1985;ingles;Drama, Mystery;Columbia Pictures;Estados Unidos;Latin, Ingles, Frances
James Garner;Masculino;Norman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Toward the Unknown;Mejor actor;No;1986;Murphy's Romance;1985;ingles;Comedy, Drama, Romance;Columbia Pictures;Estados Unidos;Ingles
Jessica Lange;Femenino;Cloquet, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; King Kong;Mejor actriz;No;1986;Sweet Dreams;1985;ingles;Drama, Music, Romance;TriStar Pictures, Silver Screen Partners, HBO;Estados Unidos;Ingles
Geraldine Page;Femenino;Kirksville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hondo;Mejor actriz;Sí;1986;The Trip to Bountiful;1985;ingles;Drama;Bountiful Film Partners, FilmDallas Pictures;Estados Unidos;Ingles
Sigourney Weaver;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Annie Hall;Mejor actriz;No;1987;Aliens;1986;ingles;Action, Thriller, Science Fiction;Brandywine Productions, SLM Production Group, 20th Century Fox;Estados Unidos;Ingles
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;Sí;1987;The Color of Money;1986;ingles;Drama;Touchstone Pictures, Silver Screen Partners II;Estados Unidos;Ingles, Español
Kathleen Turner;Femenino;Springfield, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Body Heat;Mejor actriz;No;1987;Peggy Sue Got Married;1986;ingles;Comedy, Drama, Fantasy;American Zoetrope, TriStar Pictures;Estados Unidos;Ingles
James Woods;Masculino;Vernal, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Visitors;Mejor actor;No;1987;Salvador;1986;ingles;Drama, War, Thriller;Hemdale Film;Reino Unido, Estados Unidos;Español, Ingles
William Hurt;Masculino;Washington D.C., Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Altered States;Mejor actor;No;1987;Children of a Lesser God;1986;ingles;Drama, Romance;Paramount;Estados Unidos;Ingles
Marlee Matlin;Femenino;Morton Grove, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Children of a Lesser God;Mejor actriz;Sí;1987;Children of a Lesser God;1986;ingles;Drama, Romance;Paramount;Estados Unidos;Ingles
Bob Hoskins;Masculino;Bury Saint Edmunds, Inglaterra;Británica;No aplica;Blanca;No; Up the Front;Mejor actor;No;1987;Mona Lisa;1986;ingles;Crime, Drama, Romance, Thriller;HandMade Films, Palace Productions, Film4 Productions;Reino Unido;Ingles
Jane Fonda;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tall Story;Mejor actriz;No;1987;The Morning After;1986;ingles;Crime, Mystery, Romance, Thriller;American Filmworks, Lorimar Productions, Warner Bros. Pictures;Estados Unidos;Frances, Ingles
Sissy Spacek;Femenino;Quitman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prime Cut;Mejor actriz;No;1987;Crimes of the Heart;1986;ingles;Comedy, Drama;DEG, Crimes of the Heart S.A, De Laurentiis;Estados Unidos;Ingles
Dexter Gordon;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Negra;No; Jag älskar, du älskar;Mejor actor;No;1987;Round Midnight;1986;Inglés;Drama, Música;Little Bear Films, Warner Bros. Pictures, Amazon Entertainment;Francia, Estados Unidos;Inglés, Francés
Robin Williams;Masculino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Can I Do It ... Til I Need Glasses?;Mejor actor;No;1988;Good Morning, Vietnam;1987;ingles;Comedy, Drama, War;Touchstone Pictures, Silver Screen Partners III;Estados Unidos;Ingles, Vietnamita
Michael Douglas;Masculino;New Brunswick, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Rabbit Test;Mejor actor;Sí;1988;Wall Street;1987;ingles;Crime, Drama;20th Century Fox;Estados Unidos;Ingles
Glenn Close;Femenino;Greenwich, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The World According to Garp;Mejor actriz;No;1988;Fatal Attraction;1987;ingles;Drama, Thriller;Paramount;Estados Unidos;Ingles
Cher;Femenino;El Centro, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Chastity;Mejor actriz;Sí;1988;Moonstruck;1987;ingles;Comedy, Drama, Romance;Star Partners, Metro-Goldwyn-Mayer;Estados Unidos;Ingles, Italiano
William Hurt;Masculino;Washington D.C., Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Altered States;Mejor actor;No;1988;Broadcast News;1987;ingles;Comedy, Romance;Amercent Films, American Entertainment Partners L.P., Gracie Films, 20th Century Fox;Estados Unidos;Frances, Aleman, Español, Ingles
Holly Hunter;Femenino;Conyers, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Burning;Mejor actriz;No;1988;Broadcast News;1987;ingles;Comedy, Romance;Amercent Films, American Entertainment Partners L.P., Gracie Films, 20th Century Fox;Estados Unidos;Frances, Aleman, Español, Ingles
Jack Nicholson;Masculino;Neptune City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Cry Baby Killer;Mejor actor;No;1988;Ironweed;1987;ingles;Drama;TAFT Entertainment Pictures, HBO, Keith Barish Productions;Estados Unidos;Ingles
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1988;Ironweed;1987;ingles;Drama;TAFT Entertainment Pictures, HBO, Keith Barish Productions;Estados Unidos;Ingles
Marcello Mastroianni;Masculino;Frosinone, Italia;Italiana;No aplica;Blanca;No; Tempesta su Parigi;Mejor actor;No;1988;Dark Eyes;1987;ruso;Comedy, Drama, Romance;Adriana International Corporation, RAI;Italia, Soviet Union;Frances, Italiano, Ruso
Sally Kirkland;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prison;Mejor actriz;No;1988;Anna;1987;ingles;Drama;Magnus Films, Vestron Pictures;Estados Unidos;
Dustin Hoffman;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Tiger Makes Out;Mejor actor;Sí;1989;Rain Man;1988;ingles;Drama;United Artists, Star Partners II Ltd.;Estados Unidos;Italiano, Ingles
Tom Hanks;Masculino;Concord, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; He Knows You're Alone;Mejor actor;No;1989;Big;1988;ingles;Fantasy, Drama, Comedy, Romance, Family;American Entertainment Partners II L.P., Gracie Films, 20th Century Fox;Estados Unidos;Ingles
Gene Hackman;Masculino;San Bernardino, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lilith;Mejor actor;No;1989;Mississippi Burning;1988;ingles;Drama, Crime;Orion Pictures;Estados Unidos;Ingles
Glenn Close;Femenino;Greenwich, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The World According to Garp;Mejor actriz;No;1989;Dangerous Liaisons;1988;ingles;Drama, Romance;Lorimar Film Entertainment, NFH Films, Warner Bros. Pictures;Reino Unido, Estados Unidos;Ingles
Melanie Griffith;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Night Moves;Mejor actriz;No;1989;Working Girl;1988;ingles;Comedy, Romance, Drama;20th Century Fox;Estados Unidos;Aleman, Ingles
Sigourney Weaver;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Annie Hall;Mejor actriz;No;1989;Gorillas in the Mist;1988;ingles;Drama, History;The Guber-Peters Company, Universal Pictures, Warner Bros. Pictures;Estados Unidos;Ingles
Jodie Foster;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Napoleon and Samantha;Mejor actriz;Sí;1989;The Accused;1988;ingles;Drama;Paramount Pictures Canada, Paramount;Canada, Estados Unidos;Ingles
Edward James Olmos;Masculino;East Los Angeles, Estados Unidos;Estadounidense;Mexicana;Hispana;Sí; Aloha Bobby and Rose;Mejor actor;No;1989;Stand and Deliver;1988;ingles;Drama;Warner Bros. Pictures, American Playhouse, Olmos Productions;Estados Unidos;Ingles, Español
Max von Sydow;Masculino;Lund, Suecia;Sueca;Francesa;Blanca;No; Bara en mor;Mejor actor;No;1989;Pelle the Conqueror;1988;Danés;Drama;Per Holst Film, Svensk Filmindustri, Danish Film Institute;Dinamarca, Suecia;Danés, Sueco
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1989;A Cry in the Dark;1988;Inglés;Drama, Crimen, Suspense;Cannon Entertainment, Golan-Globus Productions, Cinema Verity, Evil Angels Films;Australia, Estados Unidos;Inglés
Robin Williams;Masculino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Can I Do It ... Til I Need Glasses?;Mejor actor;No;1990;Dead Poets Society;1989;ingles;Drama;Touchstone Pictures, Silver Screen Partners IV, A Steven Haft Production, Witt/Thomas Productions;Estados Unidos;Ingles, Latin
Tom Cruise;Masculino;Siracusa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Endless Love;Mejor actor;No;1990;Born on the Fourth of July;1989;ingles;Drama, War;Universal Pictures, Ixtlan;Estados Unidos;Ingles, Español
Morgan Freeman;Masculino;Memphis, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Who Says I Can't Ride a Rainbow!;Mejor actor;No;1990;Driving Miss Daisy;1989;ingles;Drama;The Zanuck Company, Majestic Films International, Warner Bros. Pictures;Estados Unidos;Ingles, Hebreo
Jessica Tandy;Femenino;Stoke Newington, Inglaterra;Británica;Estadounidense;Blanca;No; The Indiscretions of Eve;Mejor actriz;Sí;1990;Driving Miss Daisy;1989;ingles;Drama;The Zanuck Company, Majestic Films International, Warner Bros. Pictures;Estados Unidos;Ingles, Hebreo
Kenneth Branagh;Masculino;Belfast, Reino Unido;Británica;No aplica;Blanca;No; A Month in the Country;Mejor actor;No;1990;Henry V;1989;ingles;War, Drama, History;BBC Film, Renaissance Films, Samuel Goldwyn Company;Reino Unido;Ingles
Michelle Pfeiffer;Femenino;Santa Ana, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Hollywood Knights;Mejor actriz;No;1990;The Fabulous Baker Boys;1989;ingles;Comedy, Drama, Music, Romance;Tobis, Gladden Entertainment, Mirage, 20th Century Fox;Estados Unidos;Ingles
Jessica Lange;Femenino;Cloquet, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; King Kong;Mejor actriz;No;1990;Music Box;1989;ingles;Crime, Drama, Thriller;TriStar Pictures, Carolco Pictures;Estados Unidos;Español, Hungaro, Ingles
Pauline Collins;Femenino;Exmouth, Inglaterra;Británica;No aplica;Blanca;No; Secrets of a Windmill Girl;Mejor actriz;No;1990;Shirley Valentine;1989;ingles;Romance, Comedy;Paramount;Reino Unido, Estados Unidos;Ingles
Daniel Day-Lewis;Masculino;Greenwich, Inglaterra;Británica;Irlandesa;Blanca;No; Endless Love;Mejor actor;Sí;1990;My Left Foot;1989;Inglés;Drama;Ferndale Films, Granada Television;Irlanda, Reino Unido;Inglés
