nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;ano_pelicula_nominada;original_language;genres;production_companies;production_countries;spoken_languages
Fredric March;Masculino;Racine, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Dummy;Mejor actor;No;1932;The Royal Family of Broadway;1930;ingles;Comedy;Paramount;Estados Unidos;Ingles
Lionel Barrymore;Masculino;Filadelfia, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Fighting Blood;Mejor actor;Sí;1932;A Free Soul;1930;Inglés;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
Norma Shearer;Femenino;Montreal, Canadá;Canadiense;Estadounidense;Blanca;Sí; The Stealers;Mejor actriz;No;1932;A Free Soul;1930;Inglés;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
Jackie Cooper;Masculino;Los Ángeles, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Boxing Gloves;Mejor actor;No;1932;Skippy;1930;Inglés;Comedia, Drama, Familia;Paramount Pictures;Estados Unidos;Inglés
Richard Dix;Masculino;Saint Paul, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; One of Many;Mejor actor;No;1932;Cimarron;1930;Inglés;Western, Drama;RKO Radio Pictures;Estados Unidos;Inglés
Irene Dunne;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Leathernecking;Mejor actriz;No;1932;Cimarron;1930;Inglés;Western, Drama;RKO Radio Pictures;Estados Unidos;Inglés
Adolphe Menjou;Masculino;Pittsburgh, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; A Parisian Romance;Mejor actor;No;1932;The Front Page;1930;Inglés;Comedia, Crimen, Drama;The Caddo Company, United Artists;Estados Unidos;Inglés
Fredric March;Masculino;Racine, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Dummy;Mejor actor;Sí;1933;Dr. Jekyll and Mr. Hyde;1931;ingles;Horror, Science Fiction, Drama;Paramount;Estados Unidos;Ingles
Wallace Beery;Masculino;Kansas City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; His Athletic Wife;Mejor actor;Sí;1933;The Champ;1931;ingles;Drama;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Helen Hayes;Femenino;Washington D.C., Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Jean and the Calico Doll;Mejor actriz;Sí;1933;The Sin of Madelon Claudet;1931;ingles;Drama;Metro-Goldwyn-Mayer;Estados Unidos;Ingles, Frances
Alfred Lunt;Masculino;Milwaukee, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Backbone;Mejor actor;No;1933;The Guardsman;1931;ingles;Comedy, Drama;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Lynn Fontanne;Femenino;Londres, Inglaterra;Británica;No aplica;Blanca;Sí; Second Youth;Mejor actriz;No;1933;The Guardsman;1931;ingles;Comedy, Drama;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Marie Dressler;Femenino;Cobourg, Canadá;Canadiense;Estadounidense;Blanca;Sí; Tillie's Punctured Romance;Mejor actriz;No;1933;Emma;1931;Inglés;Comedia, Drama;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;No;1934;I Am a Fugitive from a Chain Gang;1932;ingles;Crime, Drama;Warner Bros. Pictures, The Vitaphone Corporation;Estados Unidos;Ingles
Leslie Howard;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;No; The Heroine of Mons;Mejor actor;No;1934;Berkeley Square;1932;Inglés;Drama, Fantasía, Romance;Fox Film Corporation;Estados Unidos;Inglés
Charles Laughton;Masculino;Scarborough, Inglaterra;Británica;Estadounidense ;Blanca;No; The Tonic;Mejor actor;Sí;1934;The Private Life of Henry VIII;1932;Inglés;Drama, Historia, Romance;London Film Productions, United Artists;Reino Unido;Inglés
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;Sí;1934;Morning Glory;1932;Inglés;Drama, Romance;RKO Radio Pictures;Estados Unidos;Inglés
May Robson;Femenino;Moama, Australia;Australiana;Estadounidense;Blanca;Sí; A Night Out;Mejor actriz;No;1934;Lady for a Day;1932;Inglés;Comedia, Drama;Columbia Pictures;Estados Unidos;Inglés
Diana Wynyard;Femenino;Londres, Inglaterra;Británica;No aplica;Blanca;Sí; Rasputin and the Empress;Mejor actriz;No;1934;Cavalcade;1932;Inglés;Drama, Historia, Bélica;Fox Film Corporation;Estados Unidos;Inglés
Clark Gable;Masculino;Cádiz, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; White Man;Mejor actor;Sí;1935;It Happened One Night;1934;ingles;Comedy, Romance;Columbia Pictures;Estados Unidos;Ingles
Claudette Colbert;Femenino;Saint-Mandé, Francia;Francesa;Estadounidense ;Blanca;Sí; For the Love of Mike;Mejor actriz;Sí;1935;It Happened One Night;1934;ingles;Comedy, Romance;Columbia Pictures;Estados Unidos;Ingles
William Powell;Masculino;Pittsburgh, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sherlock Holmes;Mejor actor;No;1935;The Thin Man;1934;ingles;Comedy, Crime, Mystery;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1935;Of Human Bondage;1934;ingles;Drama, Romance;RKO Radio Pictures;Estados Unidos;Ingles
Norma Shearer;Femenino;Montreal, Canadá;Canadiense;Estadounidense;Blanca;Sí; The Stealers;Mejor actriz;No;1935;The Barretts of Wimpole Street;1934;ingles;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Grace Moore;Femenino;Slabtown, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Lady's Morals;Mejor actriz;No;1935;One Night of Love;1934;ingles;Music, Romance;Columbia Pictures;Estados Unidos;Ingles, Italiano
Frank Morgan;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Suspect;Mejor actor;No;1935;The Affairs of Cellini;1934;ingles;Comedy, Drama, History;20th Century Pictures;Estados Unidos;Ingles
